seed,loss,bestValidationScore,testR2
6765,0.01338015734659989,0.9750874230232222,0.972177495526465
1044,0.013382250965012492,0.9736273748060769,0.9725738746332789
3125,0.0133568970556998,0.972786335264491,0.9761597084665049
7697,0.013119518649067189,0.9783515483414723,0.9740026173494337
6015,0.013450048804081927,0.9761683688437718,0.9731109744032661
8364,0.013115280688968877,0.9749757219623715,0.9746864010281469
3893,0.013091430599722354,0.971903878105998,0.9732468104005286
3127,0.013393861829677053,0.9735694565241951,0.9742922873380523
3373,0.012940688477249905,0.9735356098084803,0.9746888872762559
2077,0.012709127986418406,0.9720717030544965,0.9734965192680357
252,0.013095991735682619,0.9767335263576099,0.9741355060432358
9707,0.013030415003696687,0.9750626501915621,0.9726249334886425
3195,0.013184117320372456,0.9753152043513774,0.9748475632319069
8636,0.013742802851377607,0.9749467812073425,0.9729619921235594
5925,0.01348202287822897,0.9727876010908355,0.971562424191328
4051,0.013918490848553547,0.9714609350022605,0.9717711392426723
2217,0.013193684298868896,0.9756781714424249,0.9776020950649368
1617,0.012954811666526175,0.9726806012227379,0.9723965781955562
2906,0.013388299010609532,0.97412139407187,0.9732513110650988
7208,0.013474228361373176,0.9736087323522438,0.9750349513142345
4876,0.012941554917951894,0.9724903328163538,0.9757664143774692
5996,0.012985509529070339,0.9754891044910209,0.9755184110296269
7783,0.013364152323407602,0.9734576395877502,0.9753995454326034
4705,0.013259076109113723,0.9728608702967798,0.9740513467829669
4840,0.013535764943114079,0.9755030920825138,0.975534647083912
7497,0.013507375591578188,0.974883076075702,0.9777498991598618
5993,0.013431687160190166,0.9767316494703658,0.9761009068094757
5869,0.01308405244946516,0.9738248956102792,0.9755695527471454
6781,0.013291173941386415,0.9748555510576878,0.9729230912682195
4769,0.013109246785204273,0.9736881004759045,0.9735581890462143
8852,0.013752749075040909,0.972424758934963,0.9730360474113683
3085,0.013132768384402662,0.9767621516405777,0.9726741085390037
6190,0.014079876708939032,0.9738604794784113,0.9750965586412149
2940,0.013378344948667114,0.9714581747400017,0.9724849749356452
178,0.013032565744632157,0.973641546580533,0.9750422498342383
823,0.013043057315747482,0.9742386623690455,0.9764498222635911
6529,0.013206285533106417,0.9738756546900366,0.9748232750500576
8339,0.013200228929304792,0.9746175944369003,0.9760484774857575
929,0.012928337068885043,0.9751300272631643,0.9762889429479961
6332,0.013666246296285321,0.9740549080096459,0.9742362867446562
9731,0.013171998667627131,0.974627844519604,0.9747709947055369
8583,0.012989278865165285,0.9732420420070486,0.9765906746053118
6215,0.013413648932702273,0.9764452695258742,0.9766783179795903
3216,0.012924293500877527,0.9752105614508753,0.973619179967141
3245,0.013160060470204179,0.9750301605247023,0.9731663777065439
9591,0.013098756447693023,0.976930411662187,0.9746101986774982
6838,0.013010927991182362,0.9747743719375572,0.9741523825526109
6563,0.013299541621423055,0.9727542901344517,0.9747435706845011
3823,0.013026047178300932,0.9772593964833577,0.9729829843199687
2237,0.012899111873256175,0.9755587381430448,0.9740448129672439
1676,0.013419856188214688,0.975863427560034,0.9739676211097711
7764,0.013573376312898938,0.9757568173208142,0.974436186422492
5930,0.01332424379311417,0.9757858406709558,0.9768479485452654
9866,0.013326023433511296,0.972577310845265,0.9739883157915162
4400,0.013068521493725024,0.9766986124209623,0.9728933577484176
8105,0.013198790828154141,0.9758329367027713,0.9755013528208218
5125,0.013117230352562865,0.975550796981965,0.9742131497440768
1981,0.013004834034620527,0.9736416978793065,0.9755200219524994
7763,0.013146567538438573,0.9723377911182869,0.9725680751702144
3224,0.013247159898173677,0.9734327567910733,0.9728189714449872
2267,0.013236906693961825,0.974647697738682,0.9736069719478717
7607,0.013416573927106053,0.9746319916896714,0.9735547414709179
