hiddenLayerSize,trainTime,loss,bestValidationScore
"[25, 25, 25]",0:00:27,0.013098056453091183,0.9742433596455825
"[25, 25, 25, 25]",0:00:22,0.013176059482705081,0.974634161780112
"[25, 25, 25, 25, 25]",0:00:14,0.013519105592675464,0.9761289800914277
"[30, 30]",0:00:12,0.014979709172255336,0.9684043453820879
"[30, 30, 30]",0:00:12,0.014569046585526851,0.9731006006840893
"[30, 30, 30, 30]",0:00:25,0.012485729297340292,0.9754242096229851
"[30, 30, 30, 30, 30]",0:00:15,0.01357469328514027,0.9734301581084551
"[35, 35]",0:00:10,0.01505336328833422,0.9691368507908157
"[35, 35, 35]",0:00:13,0.013857202512502574,0.9719627545432906
"[35, 35, 35, 35]",0:00:17,0.012951267909873996,0.9750273673359242
"[35, 35, 35, 35, 35]",0:00:17,0.013246367131274923,0.9764061194509287
"[40, 40]",0:00:14,0.015113614102976122,0.9713895466153369
"[40, 40, 40]",0:00:21,0.01305197885465237,0.9748039995950363
"[40, 40, 40, 40]",0:00:23,0.012592008923154164,0.9727117472236634
"[40, 40, 40, 40, 40]",0:00:33,0.012747278243814358,0.9764778231784929
"[45, 45]",0:00:14,0.014633467102811451,0.9727125335464774
"[45, 45, 45]",0:00:25,0.012862277264783098,0.9744108418728773
"[45, 45, 45, 45]",0:00:21,0.012936378152937664,0.9721410265106516
"[45, 45, 45, 45, 45]",0:00:26,0.01312158138604356,0.9745291560325908
"[50, 50]",0:00:15,0.014301745658015298,0.9703682640264369
"[50, 50, 50]",0:00:23,0.01294291439636268,0.975037343446127
"[50, 50, 50, 50]",0:00:20,0.012742438499801358,0.9725713566114642
"[50, 50, 50, 50, 50]",0:00:13,0.0140336752402479,0.9734348792086513
"[15, 15]",0:00:10,0.016227027246121472,0.968653971656535
"[15, 15, 15]",0:00:16,0.015565123837061911,0.9710180988648635
"[15, 15, 15, 15]",0:00:15,0.014433949871134461,0.9698384657893859
"[15, 15, 15, 15, 15]",0:00:22,0.013456494417510931,0.9753299705442121
"[20, 20]",0:00:14,0.015266827050800963,0.9699148045363087
"[20, 20, 20]",0:00:13,0.014279554432754669,0.9722626515178274
"[20, 20, 20, 20]",0:00:21,0.013297283202496365,0.9726274344977206
"[20, 20, 20, 20, 20]",0:00:15,0.013610520147223875,0.9715330869517745
"[25, 25]",0:00:11,0.015097066836155033,0.9673864925017791
